model,animation_id,phase_ordinal,activation_animation_s,deactivation_animation_s,response,status,calibrated,gameplay_validated,timeline_source_sha256,attack_param_ids,source_references
c1010,3000,0,0.666666687,0.800000012,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3001,0,0.466666669,0.600000024,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3002,0,0.966666639,1.100000024,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3003,0,0.966666639,1.066666722,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3005,0,0.966666639,1.033333302,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3007,0,0.566666663,0.633333325,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3008,0,1.133333325,1.266666651,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3008,1,1.533333302,1.666666627,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3008,2,1.933333278,2.066666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3008,3,2.433333397,2.566666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3008,4,3.266666651,3.400000095,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3010,0,1.000000000,1.366666675,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3011,0,0.166666672,1.233333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3012,0,0.699999988,0.899999976,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3012,1,1.799999952,1.866666675,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3013,0,0.766666651,0.933333337,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3014,0,1.066666722,1.333333373,jump,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,10100240,src/attack_timings.rs;docs/enemy-coverage.json;docs/response-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3020,0,1.066666722,1.333333373,jump,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,10100240,src/attack_timings.rs;docs/enemy-coverage.json;docs/response-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3031,0,1.133333325,1.266666651,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3031,1,1.533333302,1.666666627,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3031,2,1.933333278,2.066666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3031,3,2.433333397,2.566666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3031,4,3.266666651,3.400000095,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3032,0,1.133333325,1.266666651,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3032,1,1.533333302,1.666666627,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3032,2,1.933333278,2.066666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3032,3,2.433333397,2.566666603,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3032,4,3.266666651,3.400000095,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
